club,last_name,first_name,position,base_salary,guaranteed_compensation
CHI,Curtin,Jeff,D,12900.0,12900.0
CHI,Curtin,Jim,D,120750.0,120750.0
CHI,Pause,Logan,M,69300.0,69300.0
CHI,Pickens,Matt,GK,32340.0,32340.0
CHI,Plotkin,Brian,M,30000.0,30000.0
CHI,Robinson,Dasan,D,42500.0,42500.0
LA,Albright,Chris,M-D,142500.0,142500.0
LA,Beckham,David,M,5500000.08,6500000.04
LA,Buddle,Edson,F,140000.0,150000.0
LA,Cannon,Joe,GK,192000.0,192000.0
LA,Caso,Mike,M,12900.0,12900.0
LA,Cronin,Steve,GK,34728.75,42228.75
LA,Donovan,Landon,F,900000.0,900000.0
LA,Friesz,Lance,GK,12900.0,12900.0
LA,Glinton,Gavin,F,50000.0,50000.0
LA,Gordon,Alan,F,30870.0,30870.0
LA,Gray,Kelly,M-D,85000.0,85000.0
LA,Harden,Ty,D,30000.0,30000.0
LA,Harmse,Kevin,M,40800.0,40800.0
LA,Jazic,Ante,D-M,108000.0,114250.0
LA,Jones,Cobi,M,95000.0,95000.0
LA,Kirk,Quavas,F,75000.0,111500.0
LA,Klein,Chris,M,180000.0,187250.0
LA,Martino,Kyle,M,52500.0,55297.27
LA,Pavon,Carlos,F,132000.0,141500.0
LA,Randolph,Michael,D,17700.0,17700.0
LA,Roberts,Troy,D,30000.0,30000.0
LA,Sesay,Israel,F,45000.0,57083.33
LA,Tudela,Josh,M,17700.0,17700.0
LA,Vagenas,Peter,M,131250.0,131875.0
LA,Veris,Kyle,D,17700.0,17700.0
LA,Xavier,Abel,D,156000.0,156000.0
TFC,Attakora-Gyan,Nana,D,12900.0,12900.0
TFC,Boyens,Andrew,D,30000.0,47500.0
TFC,Braz,Adam,D,67200.0,74950.0
TFC,Brennan,Jim,D,150000.0,158000.0
TFC,Canizalez,Maycoll,M,36000.0,40000.0
TFC,Cunningham,Jeffrey,F,220000.0,232500.0
TFC,Dichio,Daniel,F,150000.0,158125.0
TFC,Djekanovic,Srdjan,GK,17700.0,17700.0
TFC,Dunivant,Todd,D,99750.0,99750.0
TFC,Edu,Maurice,M,50000.0,132500.0
TFC,Gala,Gabriel,M,12900.0,12900.0
TFC,Guzman,David,M,12900.0,12900.0
TFC,Hemming,Tyler,M,17700.0,17700.0
TFC,Lombardo,Andrea,F,30000.0,30000.0
TFC,Lumley,Stephen,D,12900.0,12900.0
TFC,Marshall,Tyrone,D,142000.0,149500.0
TFC,Melo,Joey,M,12900.0,12900.0
TFC,Nunez,Cristian,M,17700.0,17700.0
TFC,O'Brien,Ronnie,M,240000.0,258750.0
TFC,Pozniak,Chris,D,90000.0,95000.0
TFC,Reda,Marco,D,100000.0,105000.0
TFC,Robinson,Carl,M,300000.0,315000.0
TFC,Samuel,Collin,F,90000.0,115000.0
TFC,Stamatopolus,Kenny,GK,30000.0,37500.0
TFC,Sutton,Greg,GK,125000.0,132562.5
TFC,Welsh,Andrew,M,195000.0,204750.0
TFC,Wynne,Marvell,D,47500.0,150000.0
